user,number of commits,number of adoption commits,unique libraries adopted,unique committing repos,unique adoption repos
984,769,4,482,62,3
985,389,8,21,103,7
986,56,1,6,12,1
987,208,0,0,23,0
988,59,1,1,10,1
989,23,0,0,2,0
990,169,2,3,14,2
991,278,2,2,17,1
992,526,0,0,27,0
993,29,0,0,7,0
994,5,1,4,1,1
995,182,2,3,9,2
996,7,0,0,2,0
997,2219,0,0,22,0
998,58,0,0,8,0
999,298,1,4,6,1
1000,39,0,0,4,0
1001,48,0,0,11,0
1002,141,2,8,10,2
1003,983,0,0,28,0
1004,223,0,0,15,0
1005,247,1,1,12,1
1006,9,0,0,3,0
1007,3,0,0,2,0
1008,11,0,0,3,0
1009,8,0,0,1,0
1010,52,0,0,2,0
1011,1,0,0,1,0
1012,3,0,0,1,0
1013,1,0,0,1,0
1014,2,0,0,1,0
1015,1,0,0,1,0
1016,266,0,0,12,0
1017,17,1,3,3,1
1018,98,0,0,7,0
1019,1320,4,9,19,2
1020,1652,5,9,19,3
1021,903,2,2,10,2
1022,444,0,0,17,0
1023,36,0,0,4,0
1024,119,0,0,16,0
1025,76,1,2,6,1
1026,123,0,0,8,0
1027,4,0,0,1,0
1028,38,1,4,1,1
1029,3,0,0,1,0
1030,51,0,0,2,0
1031,492,0,0,26,0
1032,347,1,2,18,1
1033,260,0,0,13,0
1034,9,1,3,1,1
1035,4965,0,0,15,0
1036,119,1,49,13,1
1037,378,0,0,26,0
1038,831,4,8,36,2
1039,14,0,0,1,0
1040,1146,0,0,34,0
1041,77,1,1,15,1
1042,291,1,2,32,1
1043,50,0,0,11,0
1044,26,1,1,8,1
1045,5,0,0,2,0
1046,355,0,0,8,0
1047,2136,0,0,61,0
1048,1284,0,0,21,0
1049,43,1,1,2,1
1050,1,0,0,1,0
1051,134,6,17,4,1
1052,1,0,0,1,0
1053,22,0,0,3,0
1054,104,0,0,12,0
1055,122,0,0,14,0
1056,261,0,0,28,0
1057,112,1,5,19,1
1058,1,0,0,1,0
1059,35,0,0,2,0
1060,74,1,3,14,1
1061,1,0,0,1,0
1062,102,0,0,1,0
1063,2,0,0,2,0
1064,2963,9,12,288,9
1065,2,0,0,1,0
1066,3,0,0,2,0
1067,2,0,0,1,0
1068,19,0,0,5,0
1069,486,0,0,17,0
1070,16,0,0,1,0
1071,1,0,0,1,0
1072,557,0,0,15,0
1073,151,1,1,18,1
1074,88,0,0,9,0
1075,8,2,3,5,2
1076,3,0,0,3,0
1077,173,2,2,6,1
1078,3,0,0,1,0
1079,522,1,1,26,1
1080,31,0,0,2,0
1081,450,0,0,12,0
1082,324,0,0,27,0
1083,927,9,27,37,6
1084,67,0,0,17,0
1085,3255,1,1,17,1
1086,264,2,2,32,2
1087,350,2,3,18,2
1088,945,1,5,20,1
1089,24,0,0,3,0
1090,389,1,6,13,1
1091,219,0,0,11,0
1092,455,1,12,9,1
1093,717,0,0,29,0
1094,694,1,1,28,1
1095,3,0,0,1,0
1096,1,0,0,1,0
1097,6,0,0,3,0
1098,1042,6,11,2,2
1099,543,4,16,8,3
1100,79,0,0,8,0
1101,484,1,5,48,1
1102,3,0,0,1,0
1103,1,0,0,1,0
1104,1,0,0,1,0
1105,326,0,0,19,0
1106,284,0,0,8,0
1107,975,1,1,32,1
1108,1,0,0,1,0
1109,1,0,0,1,0
1110,1,0,0,1,0
1111,20,0,0,4,0
1112,13,0,0,1,0
1113,28,0,0,1,0
1114,844,1,1,33,1
1115,14,0,0,3,0
1116,167,1,2,12,1
1117,1206,0,0,13,0
1118,1274,2,3,44,2
1119,14,0,0,4,0
1120,8,0,0,2,0
