user id,number of times user adopted from,number of incoming adoption edges (lib-source pairs)
19187,0,1
19204,12,0
19206,147260,38049
19207,27,0
19220,1,22
19229,39,1
19244,0,4
19246,26,24
19247,33006,132351
19249,20,102
19252,3,0
19270,2,5
19277,119,458
19291,0,54
19294,3,42
19307,45,725
19318,6,0
19345,2544,21
19359,335,15
19364,32,0
19389,1,0
19410,15,0
19413,11,37
19416,60,103
19423,0,2
19443,3,31
19446,13,22
19466,112,20
19475,437,75
19492,185,0
19508,69,1
19512,6,380
19517,154,93
19518,86,0
19529,42,8
19535,6,0
19613,36,20
19631,0,2
19639,0,1
19705,826,129
19713,23,5
19736,7414,4
19787,194,268
19789,123,6
19790,57,153
19796,31,2683
19821,3,0
19826,22,2507
19833,46,2188
19841,3,12
19852,702,1173
19863,131,1366
19864,0,310
19867,64,1958
19874,40,1
19882,1,0
19885,16,11
19917,35,1112
19919,23,73
19939,264,190
19940,134,1367
19960,5320,393
19973,8,9
19989,9,1
20000,8,574
20037,570,752
20055,10,28
20056,133,74
20080,4945,0
20115,5,87
20207,188,746
20209,0,2
20230,76,607
20247,38,0
20249,75,8
20251,1,4
20257,51,0
20269,29,68
20279,66,509
20291,9,451
20303,318,1280
20324,6,0
20326,110,226
20327,0,1
20336,73,999
20365,124,895
20366,175,618
20371,52,789
20387,155,828
20416,13,0
20430,99,1078
20454,102,137
20456,1,1
20463,9,26
20468,11,400
20474,20,7
20478,115,221
20480,70,324
20485,3,0
20497,115,68
20562,86,720
20563,174,168
20578,26,388
20594,28,313
20599,82,130
20608,0,1
20610,0,2
20627,151,536
20635,57,279
20652,18,26
20707,88,200
20716,5,0
20736,17,0
20739,0,1
20759,30,3
20763,2,3
20775,5,49
20776,15,297
20778,101,144
20793,29,0
20799,93,9
20803,6,9
20804,0,9
20813,0,1
20820,17,0
20831,66,524
20838,0,1
20847,225,385
20852,0,2
20877,37,493
20882,12,242
20884,4,0
20902,10,914
20903,2,34
20911,1,0
20922,88,561
20933,61,28
20948,24,1
20958,3,0
20967,11,551
20992,3,17
21004,1,70
21072,113,24
21074,0,1
21080,27,227
21082,35,6
21087,39,27
21090,6,0
21104,0,27
21106,48,260
21111,87,411
21129,47,362
21134,49,0
21158,162,228
21180,0,6
21212,75,295
21220,200,11
21225,17,28
21238,0,66
21257,52,475
21261,3,0
21305,0,9
21310,3,13
21420,0,2
21433,368,372
21441,0,15
21452,306,193
21473,8,81
21479,5,21
21484,26,29
21521,11,0
21528,7,8
21530,4,28
21552,57,0
21569,1021,84
21580,4,25
21603,8,4
21650,0,1
21654,3,2
21658,4,15
21706,4,0
21711,81,56
21716,71,28
21723,62,0
21735,0,4
21748,4,0
21781,44,394
21894,4,0
21900,0,16
21907,676,48
21921,8,51
21934,80,335
21937,133,4
21952,1,0
21965,132,1
21990,279,329
22016,2,20
22021,1,3
22043,135,88
22062,126,828
22085,13,5
22093,49,0
22128,0,14
22158,91,226
22161,125,520
22173,1,1
22176,5,0
22191,53311,122
22193,357,10
22216,4,0
22223,4,8
22229,4,6
22239,2,0
22243,79,258
22275,8,2
22278,1,22
22280,0,1
22362,0,7
22377,219,1
22384,1,1
22387,140,8
22412,69,8
22423,429,1516
22428,4,1
22430,1,8
22462,10,140
22479,1,4
22508,60,216
22510,0,2
22538,35,36
22550,5,3
22560,40,61
22564,11,0
22568,1,0
22578,95,1
22590,343,253
22606,0,7
22623,114,11
22631,1,0
22632,528,2
22633,6,0
22635,64,0
22641,43,51
22642,8,2
22679,87,89
22686,9,0
22699,8,12
22712,3,0
22723,64,138
22730,4,1050
22762,3,0
22765,5,0
22778,56,0
22787,1,0
22788,17,47
22806,19,11
22817,59,0
22823,13,0
22826,1111,745
22839,143,2
22883,0,3
22889,1,1
22899,2,7
22901,54,0
22915,0,1
22923,2,2
22930,448,0
22948,0,3
22957,3,0
23006,16,0
23022,12,14
23033,2,0
23036,310,183
23044,4,0
23059,2,6
23069,1,1
23073,65,220
23079,7,82
23081,5432,7967
23089,15,0
23090,2,8
23098,0,1
23110,6,0
23124,300,0
23133,4,2
23135,38,1
23145,13,1
23148,5,0
23152,0,373
23160,5,7
23204,3,796
23210,0,61
23213,14,90
23222,60,4
23225,0,4
23227,0,25
23265,7,2
23266,32,377
23267,8,0
23276,2,14
23281,26,202
23282,4,0
23289,691,373
23293,0,7
23306,2,0
23309,5,0
23313,27,4
23314,5,1
23319,630,9857
23325,10,11
23336,505,612
23350,5,12
23353,2,0
23388,325,89
23393,376,18
23415,0,1
23419,7,0
23436,0,1
23438,1,2
23443,0,9
23451,4,0
23470,0,2
23482,56,770
23488,1,0
23497,0,3
23498,4,3
23501,1,21
23502,0,4
23535,19,54
23550,0,18
23551,18,0
23591,0,1
23619,1,3
23630,1,42
23633,0,24
23641,2,1
23643,488,4
23646,87,1216
23658,62,38
23664,233,10
23675,12,2
23679,0,4
23690,3,3
23697,1,77
23704,21,74
23708,9,8
23709,1,163
23714,33,0
23746,0,5
23761,6,0
23798,57,16
23817,79,1
23822,4,17
23836,54,4
23847,8,299
23848,1,1
23874,0,1
23877,9,0
